code,name,value,error,note
GP++,q_pred,0.214,,"derived pinch exponent, R = Lambda D^q"
GP++,Lambda,1.88,,"normalisation of R over D_y in [21.5, 137.8]"
GP++,c_y,20.0,,"vertical cut multiplier, box is +/- c_y sigma_y*"
GP++,q_fit,0.4018739494487083,0.15153113025391965,free power-law slope of n_y^req vs D_y
GP++,C_y_fit,26.159342866781664,,normalisation of the free n_y fit
GP++,b_fit,3.1148844446749586,0.2503343720604374,measured slope of n_m^req/(n_x n_y n_z) vs D_y; b = s - q
GP++,s_fit,3.3288844446749586,0.2503343720604374,b_fit + q_pred
GP++,C_m_fit,1.4043588502958332e-07,1.313390097670041e-07,normalisation of the n_m fit
GP++,b_cons,3.3,,conservative locus slope actually run on (unchanged)
GP++,s_cons,3.514,,b_cons + q_pred
GP++,C_m_cons,2.305e-07,,conservative locus normalisation
GP++,kappa,0.2836094973770128,0.007614166167203197,"weighted mean, weights 1/sigma_tot^2"
GP++,kappa_slope,-0.06312605055135238,0.15153113025391965,dln(kappa)/dln(D_y); consistent with 0 means R(D_y) holds
